SEND_SQL,SEND_DATABASE,RECEIVE_DATABASE,DEST,TRANS_STATUS,SEND_DATE_UTC,SEND_DATE_LOC,SEND_UTC_OFFSET,SEND_DATA_ROW,SEND_RECORD,SEND_VOLUME,SIZE_IN_MB,SEND_IDRS_NODE,REC_IDRS_NODE,SEND_PRODUCT,REC_PRODUCT,SEND_BU,REC_BU,SEND_COUNTRY,REC_COUNTRY,RECEIVE_DATE_UTC,RECEIVE_DATE_LOC,REC_UTC_OFFSET,BATCH_NAME,BATCH_DATE
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/5/2019 18:57,10/5/2019 18:57,+00:00,770270,770293,944082079,900.35,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/5/2019 18:59,10/5/2019 18:59,+00:00,ITSCPIX2,10/5/2019 18:57
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/6/2019 18:56,10/6/2019 18:56,+00:00,414698,414721,508411116,484.86,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/6/2019 19:00,10/6/2019 19:00,+00:00,ITSCPIX2,10/6/2019 18:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/7/2019 18:58,10/7/2019 18:58,+00:00,1687034,1687057,999837358,953.52,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/7/2019 19:01,10/7/2019 19:01,+00:00,ITSCPIX2,10/7/2019 18:58
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/8/2019 19:00,10/8/2019 19:00,+00:00,1491646,1491669,999388592,953.09,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/8/2019 19:01,10/8/2019 19:01,+00:00,ITSCPIX2,10/8/2019 19:00
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/9/2019 19:01,10/9/2019 19:01,+00:00,1565857,1565880,999378875,953.08,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/9/2019 19:02,10/9/2019 19:02,+00:00,ITSCPIX2,10/9/2019 19:01
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/10/2019 19:08,10/10/2019 19:08,+00:00,1490412,1490435,999837237,953.52,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/10/2019 19:12,10/10/2019 19:12,+00:00,ITSCPIX2,10/10/2019 19:08
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/11/2019 18:59,10/11/2019 18:59,+00:00,1510574,1510597,999491566,953.19,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/11/2019 19:03,10/11/2019 19:03,+00:00,ITSCPIX2,10/11/2019 18:59
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/12/2019 18:56,10/12/2019 18:56,+00:00,792572,792595,971452005,926.45,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/12/2019 18:59,10/12/2019 18:59,+00:00,ITSCPIX2,10/12/2019 18:56
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/13/2019 18:54,10/13/2019 18:54,+00:00,475589,475612,583040165,556.03,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/13/2019 18:59,10/13/2019 18:59,+00:00,ITSCPIX2,10/13/2019 18:54
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/14/2019 18:59,10/14/2019 18:59,+00:00,1707463,1707486,999942384,953.62,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/14/2019 19:01,10/14/2019 19:01,+00:00,ITSCPIX2,10/14/2019 18:59
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/15/2019 19:01,10/15/2019 19:01,+00:00,1550987,1551010,999125983,952.84,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/15/2019 19:06,10/15/2019 19:06,+00:00,ITSCPIX2,10/15/2019 19:01
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/16/2019 19:00,10/16/2019 19:00,+00:00,1537507,1537530,999658070,953.35,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/16/2019 19:02,10/16/2019 19:02,+00:00,ITSCPIX2,10/16/2019 19:00
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/17/2019 19:00,10/17/2019 19:00,+00:00,1540553,1540576,999356573,953.06,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/17/2019 19:02,10/17/2019 19:02,+00:00,ITSCPIX2,10/17/2019 19:00
F5796EU1,ITORDER,ITSCPIX2,ITSCPIX2,RDY,10/18/2019 19:01,10/18/2019 19:01,+00:00,1524121,1524144,999143580,952.86,ITIDR18 - itseelm-lx0169.ikea.com,ITIDR18 - itseelm-lx0169.ikea.com,OMS,SCPIX,,,,,10/18/2019 19:04,10/18/2019 19:04,+00:00,ITSCPIX2,10/18/2019 19:01
